Data,MCC,AUC,F1-Score,Accuracy
GM12878,0.812216994391334,0.9637537851239668,0.9026946107784432,0.9054545454545454
HUVEC,0.8520121081178461,0.9738945634459564,0.9250084832032576,0.925888665325285
Hela-S3,0.8434189683510823,0.9712133136336302,0.9210706932052162,0.9216621253405994
NHEK,0.6653735019648332,0.912189176665224,0.832188420019627,0.8326810176125244
nontata_promoter,0.577672762035873,0.8606020483692547,0.7897647186381872,0.7853663936240868
prom_core_notata,0.4929560412036617,0.8160664516224325,0.7203772037720378,0.7429809685321274
prom_core_tata,0.4748126383920967,0.8093861778231987,0.7373572593800979,0.7373572593800979
prom_core_all,0.4574520739693358,0.8030385882110169,0.7000921658986176,0.7251689189189189
prom_300_notata,0.728826000993519,0.9379818188274566,0.8644578313253012,0.8643301300169587
prom_300_tata,0.2593472306224927,0.698231596889315,0.6235489220563847,0.6296900489396411
prom_300_all,0.6517128403502427,0.8974624480664748,0.8283097418817653,0.8258445945945946
coding,0.656919335187294,0.9150694048,0.8341403427868725,0.82736
donors,0.4867970838688533,0.8226655903295248,0.7546516659454782,0.7420382165605095
acceptors,0.4123755048766046,0.7933094812164578,0.7268942547876769,0.7042380522993688
binary,0.5501100330110039,0.8627125,0.7772277227722774,0.775
enhancer_cohn,0.4342006056456184,0.7917106234354124,0.7024743512371756,0.7161773172135867
enhancer_ensembl,0.7302772979749301,0.9467286109892716,0.8670101125739362,0.8649660962221505
tf_0,0.5084572682249324,0.8171560000000001,0.7729729729729731,0.748
tf_1,0.5267865840075201,0.83426,0.7777777777777777,0.76
tf_2,0.3522283179490299,0.744204,0.6817288801571708,0.676
tf_3,0.2116748701662745,0.660064,0.6439461883408072,0.603
tf_4,0.3798753836404838,0.7850679999999999,0.6009852216748769,0.676
ocr,0.2669328057864025,0.6848844979094634,0.6397526005060445,0.6333829251544976
DNase_I,0.3674227718502776,0.8150471900471901,0.3584905660377359,0.7777777777777778
B_amyloliquefaciens,0.5377385078707195,0.8556856501488286,0.7692307692307693,0.7688679245283019
R_capsulatus,0.2297048616023227,0.6611230534874695,0.6310386473429951,0.6151181102362204
Arabidopsis_NonTATA,0.6173140288853327,0.8909718336428514,0.8096574957888826,0.8086367485182049
Arabidopsis_TATA,0.4858551003587875,0.9026643570073416,0.5440494590417311,0.7753236862147753
human_worm,0.7477011416982188,0.9464613088,0.8733638480687385,0.87384
mouse_0,0.108658206522829,0.5825575369608291,0.5581395348837208,0.554320987654321
mouse_1,0.4834710774245349,0.8224717059166736,0.7369056603773584,0.7415863602668643
mouse_2,0.5183023183212385,0.8564842355740631,0.7584097859327218,0.7591463414634146
mouse_3,0.2050474319729238,0.6195378151260504,0.5922746781115881,0.602510460251046
mouse_4,0.1813364653279472,0.6183826664951908,0.5789186237028946,0.5905469994689325
5mC,0.2572218369026793,0.6782846917261705,0.6178148310662571,0.6284129692832765
6mC,0.339098203758706,0.7313060389243677,0.6745435016111708,0.6694665648521871
4mC_A.thaliana,0.134430329919385,0.5904425875726771,0.5572731841788636,0.5671486218860282
4mC_C.elegans,0.1206938775653706,0.5868621760546618,0.5752268747014807,0.5601956151436892
4mC_D.melanogaster,0.149152800431287,0.6040969839735297,0.5661066059568384,0.574520295202952
4mC_E.coli,0.0,0.5671900843640448,0.0,0.833378124160172
4mC_G.pickeringii,0.0,0.5873865074436265,0.0,0.8333495004365118
4mC_G.subterraneus,0.0,0.5882081605004366,0.0,0.8333516866718056
H3K79me3,0.4707429346219109,0.8026678466714408,0.7527651268705271,0.7364771151178918
H3K4me1,0.2682369441658856,0.6942371295880728,0.6905927134312126,0.6407828282828283
H4,0.6042969226609454,0.8826743351472872,0.7615062761506276,0.8049281314168378
H4ac,0.2685120994921518,0.6880040070122714,0.6958446029014015,0.6372434017595308
H3K4me2,0.1614088402948258,0.6512005702216604,0.7441659464131374,0.6142065819485174
H3K4me3,0.2179971938675948,0.6506235403719159,0.6833591845778861,0.6116847826086956
H3K14ac,0.3138715329912717,0.7245514070187733,0.741851058767547,0.6717095310136157
H3K36me3,0.3933217383434687,0.7597314354308584,0.7316195372750643,0.7006880733944955
H3K9ac,0.3347830271391246,0.7525676340898856,0.7337452191821123,0.6743432889528608
all,0.273555379676114,0.7145400000000001,0.515926475956055,0.5153333333333333
multi,0.5546032260776284,0.8747027777777777,0.5831546743941852,0.7125
reconstructed,0.2578172388132749,0.6938150312217516,0.3672618512200065,0.6080666374397194
covid,0.3748053139281659,0.7575497118218398,0.4493538227473956,0.4460078534031413
regulatory,0.4417689355240941,0.8123835377172662,0.6330961464096726,0.6298234366607177
