Data,MCC,AUC,F1-Score,Accuracy
4mC_A.thaliana,0.1462847638163415,0.5993498030894758,0.5661273968249165,0.5731048140923508
4mC_C.elegans,0.1368049395124412,0.5958860574103481,0.5762144957246513,0.5683554041430848
4mC_D.melanogaster,0.1637498163721428,0.6135442518484225,0.578339256144529,0.5818634686346863
4mC_E.coli,-0.0073311733990885,0.5478877781360851,0.0,0.83310937919914
4mC_G.pickeringii,0.0076311419818481,0.5945082360740027,0.0011621150493898,0.833252497817441
4mC_G.subterraneus,0.0027104049866859,0.5787450609585839,0.0004401408450704,0.8332782733179165
5mC,0.2616428413271474,0.6900233258395555,0.6181657848324514,0.6305460750853242
6mC,0.3569359400643537,0.7435904221926466,0.6839256043308143,0.6783571506490673
Arabidopsis_NonTATA,0.772420119094317,0.9456943954073213,0.8879023307436181,0.885972339825007
Arabidopsis_TATA,0.6812143177176583,0.950888806401056,0.7637292464878672,0.8591012947448591
B_amyloliquefaciens,0.5379878885986842,0.8505681200122622,0.7662957074721781,0.7688679245283019
DNase_I,0.5097371410082068,0.8641677391677393,0.5801526717557252,0.8202614379084967
GM12878,0.8873574482860705,0.9852271074380166,0.9432442328817284,0.9436363636363636
H3,0.664874969091911,0.9081326645365132,0.8318821165438713,0.8323313293253173
H3K14ac,0.3700657652774562,0.7572712939421979,0.7446107025107785,0.6953101361573374
H3K36me3,0.4267925311036755,0.7869739256018322,0.7444386963269529,0.716743119266055
H3K4me1,0.3453223464668899,0.7267389111687008,0.7175656984785616,0.6777146464646465
H3K4me2,0.2842506837980474,0.7075985097274393,0.7562470532767562,0.6630824372759857
H3K4me3,0.2849645613688434,0.6949688163122061,0.6928504233301975,0.6451086956521739
H3K79me3,0.5631672169598348,0.8536549586258413,0.797807158980974,0.7825936199722607
H3K9ac,0.4719928829329845,0.8064659551515024,0.7716635041113219,0.7401943145016193
H4,0.7317188967206486,0.9280728670218624,0.846215139442231,0.8678986995208761
H4ac,0.3633938858431562,0.7418397713239548,0.7184313725490197,0.6841642228739003
HUVEC,0.9109474947549112,0.9897947938019352,0.9557992688600864,0.955399061032864
Hela-S3,0.8972141163767735,0.9886590590174402,0.9489001692047376,0.9485694822888284
NHEK,0.7729045210131756,0.9498470057942486,0.888676540850454,0.8860078277886497
R_capsulatus,0.2644285133330179,0.6869064808736316,0.6460418562329391,0.6324409448818897
acceptors,0.6839301750458677,0.910275248007806,0.8476190476190476,0.8412984670874661
all,0.2745930169129326,0.7154600833333333,0.5138092611496052,0.5136666666666667
binary,0.5900295022126844,0.8703625000000001,0.7960199004975126,0.795
coding,0.7279212322261048,0.9438482016,0.8638347279497137,0.86396
covid,0.6229132785601379,0.9183952663584296,0.6675417541165161,0.6659031413612565
donors,0.6708347579552657,0.8992689186951482,0.837230215827338,0.835304822565969
enhancer_cohn,0.4810935998152108,0.8220946108752941,0.7350954478707782,0.740356937248129
enhancer_ensembl,0.6930459329462405,0.9367364899150896,0.8509231536926148,0.8456570875040361
human_worm,0.8483157111445417,0.9797585536,0.923609712882052,0.92412
mouse_0,0.3185224023696912,0.7085444292028654,0.6584158415841584,0.6592592592592592
mouse_1,0.6320932285176084,0.901797128406834,0.8103080207380299,0.8155670867309118
mouse_2,0.6544985230567778,0.922033016061868,0.8328445747800586,0.8262195121951219
mouse_3,0.4080004975739624,0.7859243697478991,0.6844444444444445,0.702928870292887
mouse_4,0.251664434853166,0.6871264476739071,0.6132748217224355,0.6255974508762613
multi,0.5600447417937693,0.8810583333333334,0.5691521474205731,0.71
nontata_promoter,0.7034239815993927,0.9297231374739844,0.8416340235030777,0.8433694930263449
ocr,0.3271589468610336,0.7244559926438172,0.6801204329074781,0.6625944151979858
prom_300_all,0.7338972868811469,0.9363988951285211,0.8667117726657646,0.8668918918918919
prom_300_notata,0.8280809519801066,0.9718049785163878,0.910741885625966,0.912945166760882
prom_300_tata,0.3810370920757081,0.7364759774155747,0.6895424836601307,0.6900489396411092
prom_core_all,0.5142302929722123,0.8371538963031139,0.7371087389180387,0.7545608108108108
prom_core_notata,0.5442626631367841,0.8555025740544852,0.7560000000000001,0.7701149425287356
prom_core_tata,0.4681421866908014,0.787616036450349,0.7366720516962844,0.734094616639478
reconstructed,0.2637776020924632,0.766379918948484,0.3881286372128929,0.6137658921525647
regulatory,0.5132445994910027,0.8454757409855135,0.6802452461229386,0.6767972553844022
tf_0,0.6015640860817809,0.879284,0.8140161725067386,0.793
tf_1,0.6475463812485095,0.9004439999999998,0.8336380255941499,0.818
tf_2,0.4440142086820203,0.8027299999999999,0.7231075697211156,0.722
tf_3,0.2944461607017636,0.724296,0.6837455830388693,0.642
tf_4,0.5529454862975476,0.866036,0.753528773072747,0.773
