Data,MCC,AUC,F1-Score,Accuracy
4mC_A.thaliana,0.1432026197915172,0.6003180459589927,0.5708276150128289,0.5716008755602543
4mC_C.elegans,0.1315244491368268,0.5936671141446919,0.5706058136375984,0.5657453706247596
4mC_D.melanogaster,0.157126129978174,0.6111139404419874,0.5736575897273185,0.5785424354243542
4mC_E.coli,0.0,0.578543341898035,0.0,0.833378124160172
4mC_G.pickeringii,0.0,0.6073370634916011,0.0,0.8333495004365118
4mC_G.subterraneus,0.0,0.5808765594253782,0.0,0.8333516866718056
5mC,0.3306239852041131,0.7125447005789234,0.673325010403662,0.6651023890784983
6mC,0.3766518905814139,0.7523830594107099,0.7040495228269281,0.6870841060325079
Arabidopsis_NonTATA,0.5512287422541935,0.8499986616582947,0.7757404795486601,0.7756138865368332
Arabidopsis_TATA,0.4027536393215588,0.8549374123566775,0.4739336492890995,0.7463823305407464
B_amyloliquefaciens,0.4286287190714096,0.7972864729092292,0.7055016181229773,0.7138364779874213
DNase_I,0.1870955113544116,0.8058236808236808,0.0909090909090909,0.738562091503268
GM12878,0.5913219932349129,0.8782259834710744,0.7873303167420814,0.7949090909090909
H3,0.3153736208894,0.7217436318523411,0.6751108296390119,0.657314629258517
H3K14ac,0.1545511011170245,0.6332662540090377,0.732446264073695,0.6045385779122542
H3K36me3,0.2320430915415745,0.6775822926978096,0.7120000000000001,0.6284403669724771
H3K4me1,0.1617326248680731,0.6193176425546016,0.7053469852104665,0.5912247474747475
H3K4me2,0.0308681586306819,0.5883244491282693,0.7370600414078675,0.5861844248941023
H3K4me3,0.099087652103831,0.5819533280631849,0.6770812734823018,0.55625
H3K79me3,0.2500494997334931,0.6843490446400825,0.6865148861646235,0.6276005547850209
H3K9ac,0.1779653980218846,0.6391743561276537,0.7070974576271187,0.6020151133501259
H4,0.3812000504460051,0.7686145468216565,0.5625,0.6933607118412046
H4ac,0.1355126019189737,0.5965325526568046,0.6805708013172338,0.5733137829912024
HUVEC,0.6775174409654795,0.9123063891958952,0.8343642611683849,0.8383635144198525
Hela-S3,0.6805368167850421,0.9092293171676974,0.8396581196581197,0.840258855585831
NHEK,0.5704503709250249,0.854922622079419,0.7853300733496332,0.7852250489236791
R_capsulatus,0.242354463938691,0.6684205157677735,0.6386049308478653,0.6214173228346457
acceptors,0.1883979318283238,0.6320499268173687,0.6228547509418166,0.5937781785392245
all,0.2077235495482472,0.6685793333333333,0.4701536933683433,0.4713333333333333
binary,0.5901180354118042,0.8785000000000001,0.7970297029702971,0.795
coding,0.5638921982005372,0.8628159904000001,0.7900023000843364,0.78088
covid,0.3566471958002689,0.7613395187662992,0.4343744680843174,0.4301919720767888
donors,0.1985268875760096,0.6355178837555886,0.6061689763075547,0.5991810737033667
enhancer_cohn,0.3305400838506363,0.7282893334778398,0.6441970413298764,0.6642199194012666
enhancer_ensembl,0.747789131351584,0.949843083534442,0.874469726185885,0.8738779463997417
human_worm,0.6811862385904411,0.9194906816,0.8388504910876683,0.84052
mouse_0,0.1828772285313231,0.6203200731595794,0.5825977301387137,0.591358024691358
mouse_1,0.4843615987499945,0.8232272610736505,0.7425610658771281,0.7421793921423276
mouse_2,0.4695209236557102,0.847151992861392,0.7355623100303951,0.7347560975609756
mouse_3,0.247092637774432,0.6616246498599441,0.628099173553719,0.6234309623430963
mouse_4,0.2315551832067568,0.6572580554182995,0.6013215859030837,0.6155071694105151
multi,0.5772467099292233,0.89,0.5875686565226315,0.725
nontata_promoter,0.5292535181273038,0.8343867599149118,0.7723257051623205,0.763227806065973
ocr,0.2259106713108198,0.6567970783041908,0.612422644969058,0.6129549095902953
prom_300_all,0.5921892923308051,0.8749599369949321,0.7903030303030303,0.7954391891891892
prom_300_notata,0.6527048579074931,0.9097516423422464,0.8167518678725914,0.8243828905219521
prom_300_tata,0.2713941933945683,0.6935655694044955,0.6201022146507665,0.636215334420881
prom_core_all,0.4902423895796685,0.8223030185574767,0.7355357454990387,0.7444256756756756
prom_core_notata,0.520167444235241,0.8381764207292342,0.7509264677199142,0.7593744111550782
prom_core_tata,0.5823885716038962,0.871726494634645,0.7922077922077922,0.7911908646003263
reconstructed,0.2562543368422794,0.6228572498930576,0.3623995980598847,0.6067514248136782
regulatory,0.3307637857552826,0.7557293644467027,0.5441633325879944,0.5554727704330047
tf_0,0.5065255615456924,0.823896,0.7685185185185185,0.75
tf_1,0.5385703109712117,0.8361919999999999,0.7812206572769953,0.767
tf_2,0.358690066099082,0.750916,0.6886517943743937,0.679
tf_3,0.2466049240057159,0.662756,0.6357487922705314,0.623
tf_4,0.417407085632379,0.800808,0.6169154228855721,0.692
