Data,DNABERT-2,NT-v2,HyenaDNA
GM12878,0.964,0.878,0.884
HUVEC,0.974,0.912,0.906
Hela-S3,0.971,0.909,0.9
NHEK,0.912,0.855,0.854
nontata_promoter,0.861,0.834,0.853
prom_core_notata,0.816,0.838,0.79
prom_core_tata,0.809,0.872,0.732
prom_core_all,0.803,0.822,0.769
prom_300_notata,0.938,0.91,0.818
prom_300_tata,0.698,0.694,0.717
prom_300_all,0.897,0.875,0.797
coding,0.915,0.863,0.885
donors,0.823,0.636,0.626
acceptors,0.793,0.632,0.67
binary,0.863,0.879,0.833
enhancer_cohn,0.792,0.728,0.733
enhancer_ensembl,0.947,0.95,0.944
tf_0,0.817,0.824,0.83
tf_1,0.834,0.836,0.842
tf_2,0.744,0.751,0.741
tf_3,0.66,0.663,0.624
tf_4,0.785,0.801,0.787
ocr,0.685,0.657,0.665
DNase_I,0.815,0.806,0.787
